x,y,component
0,0,-12785.11533066141
0,1,-18548.493053267244
0,2,-22861.303574763668
0,3,-22144.46933333333
0,4,-17335.857706606337
0,5,-12006.062427979252
0,6,-7943.6522496962025
0,7,-5249.964769783889
0,8,-3538.604925478638
0,9,-2450.8628162986583
0,10,-1746.3269793360375
0,11,-1278.164578662122
0,12,-958.5745351043968
0,13,-734.6724293091978
0,14,-573.9946690188245
0,15,-456.14233986971595
0,16,-367.9817983147897
0,17,-300.8539495818586
0,18,-248.92021319326417
0,19,-208.1607037852367
0,20,-175.7538242692254
0,21,-149.6836282198041
0,22,-128.48612576985678
0,23,-111.08212964836248
0,24,-96.6650872030975
0,25,-84.62451506778405
0,26,-74.49289899187312
0,27,-65.90831879929576
0,28,-58.58777696855948
0,29,-52.307919783580125
0,30,-46.89093431226196
0,31,-42.19411571165295
0,32,-38.10206855924301
0,33,-34.520819811838564
0,34,-31.373333794384376
0,35,-28.596065694061068
0,36,-26.13629149071876
0,37,-23.950023508601646
0,38,-22.00037134521274
0,39,-20.25624418301055
1,0,-18548.493053267244
1,1,-30621.666116754754
1,2,-41310.37725322348
1,3,-39039.97497638029
1,4,-27577.185018513173
1,5,-17095.90095873961
1,6,-10336.609770490257
1,7,-6393.567527558246
1,8,-4111.013992345146
1,9,-2753.5098016217835
1,10,-1915.195778068685
1,11,-1377.1505401011439
1,12,-1019.1968566997987
1,13,-773.2573672268421
1,14,-599.395972388696
1,15,-473.36684260145887
1,16,-379.96985514475233
1,17,-309.39182586306123
1,18,-255.12650690319293
1,19,-212.75524573135215
1,20,-179.21132320671867
1,21,-152.32413982406084
1,22,-130.52979920633157
1,23,-112.68317281672651
1,24,-97.93332389109176
1,25,-85.63935470944456
1,26,-75.31256411269634
1,27,-66.57604806232328
1,28,-59.1360632320302
1,29,-52.76144935431343
1,30,-47.26865394490399
1,31,-42.5107050892069
1,32,-38.36900193901596
1,33,-34.74714009989868
1,34,-31.566222897957783
1,35,-28.76126892092629
1,36,-26.278436274239667
1,37,-24.072860858830126
1,38,-22.10696026364584
1,39,-20.349093606088633
2,0,-22861.303574763668
2,1,-41310.37725322348
2,2,-60091.27851288947
2,3,-56205.405497330255
2,4,-36960.300208651046
2,5,-21211.434061403997
2,6,-12071.268668407374
2,7,-7155.988617078551
2,8,-4470.051252104165
2,9,-2935.1681955944136
2,10,-2013.3570916052067
2,11,-1433.3376643725196
2,12,-1052.9944384980195
2,13,-794.4726372109984
2,14,-613.2111844973172
2,15,-482.65377024876557
2,16,-386.3880539505626
2,17,-313.9364618877828
2,18,-258.41418772313176
2,19,-215.17928936061847
2,20,-181.02920788104586
2,21,-153.7083824805022
2,22,-131.59843522917163
2,23,-113.51850459450864
2,24,-98.5937331337137
2,25,-86.16690881477581
2,26,-75.73801274080196
2,27,-66.92216582445032
2,28,-59.419923779611445
2,29,-52.99599660297941
2,30,-47.46380331272724
2,31,-42.674125635902016
2,32,-38.50667875917471
2,33,-34.86378337985289
2,34,-31.66556865124451
2,35,-28.846302316685744
2,36,-26.35155905053533
2,37,-24.136017934827702
2,38,-22.161736294559063
2,39,-20.396787196248503
3,0,-22144.46933333333
3,1,-39039.97497638029
3,2,-56205.405497330255
3,3,-54242.650491376655
3,4,-36820.80227625372
3,5,-21369.194212173585
3,6,-12173.865542085607
3,7,-7206.1523966129225
3,8,-4494.091728775737
3,9,-2947.168421486714
3,10,-2019.681995726702
3,11,-1436.8558145042325
3,12,-1055.0499397168528
3,13,-795.7270281106154
3,14,-614.0065064760137
3,15,-483.1751965165427
3,16,-386.7401090063654
3,17,-314.1804026603279
3,18,-258.58714081003893
3,19,-215.3044439550925
3,20,-181.12144449424946
3,21,-153.7774850046242
3,22,-131.6509794253659
3,23,-113.55899893299083
3,24,-98.62532522164086
3,25,-86.19183281326399
3,26,-75.7578786542981
3,27,-66.93815013178947
3,28,-59.43289726691579
3,29,-53.00661147937139
3,30,-47.472553470978255
3,31,-42.68138891801125
3,32,-38.51274698494829
3,33,-34.86888393916437
3,34,-31.66988020525513
3,35,-28.849966335808183
3,36,-26.35468837696334
3,37,-24.13870319601772
3,38,-22.16405074906172
3,39,-20.39879042526206
4,0,-17335.857706606337
4,1,-27577.185018513173
4,2,-36960.300208651046
4,3,-36820.80227625372
4,4,-27487.379731531622
4,5,-17430.81646820408
4,6,-10568.794803694205
4,7,-6515.624628999403
4,8,-4172.683214162018
4,9,-2785.4535116589723
4,10,-1932.4780263560656
4,11,-1386.9464420727902
4,12,-1025.0002893999615
4,13,-776.8362936563608
4,14,-601.6834979026466
4,15,-474.8760906171401
4,16,-380.99400595628765
4,17,-310.1043562391957
4,18,-255.63337175902822
4,19,-213.1230415048853
4,20,-179.4830069885327
4,21,-152.52807818330706
4,22,-130.6851269171096
4,23,-112.80304973773615
4,24,-98.0269620379841
4,25,-85.71330772811079
4,26,-75.37156416344907
4,27,-66.62355909526867
4,28,-59.17465305654066
4,29,-52.79304382998939
4,30,-47.29471320022778
4,31,-42.53234735868491
4,32,-38.387091698958415
4,33,-34.762351541460546
4,34,-31.579086147091616
4,35,-28.772204045543166
4,36,-26.28777855019409
4,37,-24.08087971407217
4,38,-22.11387360526397
4,39,-20.355078743983523
5,0,-12006.062427979252
5,1,-17095.90095873961
5,2,-21211.434061403997
5,3,-21369.194212173585
5,4,-17430.81646820408
5,5,-12319.21711378341
5,6,-8180.940727016256
5,7,-5389.528811773389
5,8,-3615.5864806537684
5,9,-2493.38551874675
5,10,-1770.4359832841194
5,11,-1292.3102091851774
5,12,-967.1747636706491
5,13,-740.0820185173915
5,14,-577.5057999403198
5,15,-458.48714164095566
5,16,-369.58846628405627
5,17,-301.9805975871919
5,18,-249.72686986925726
5,19,-208.74919270272935
5,20,-176.19049448379263
5,21,-150.0126660870149
5,22,-128.73755142023086
5,23,-111.2767154819463
